¿Quién interpretó al personaje de Jack Sparrow en la serie de películas 'Piratas del Caribe'? | Johnny Depp, depp
¿En qué año se estrenó la primera película de 'Star Wars'? | 1977
¿Cuál es el nombre del hobbit protagonista en 'El Señor de los Anillos'? | Frodo Baggins, frodo
¿Qué serie de televisión cuenta la historia de una familia disfuncional con piel amarilla? | Los Simpson, simpson, simpsons
¿Quién es el creador de la serie de televisión 'Breaking Bad'? | Vince Gilligan, gilligan
¿Cuál es el nombre del superhéroe interpretado por Robert Downey Jr. en el Universo Cinematográfico de Marvel? | IronMan, iron man
¿Qué película ganó el Oscar a la Mejor Película en 1994? | Forrest Gump
¿Qué actor interpretó a Neo en la película 'Matrix'? | Keanu Reeves, reeves
¿En qué película animada aparece el personaje de Simba? | El Rey León, rey leon
¿Cuál es el nombre del director de la película 'Pulp Fiction'? | Quentin Tarantino, tarantino
¿Qué cantante es conocido por el apodo 'El Rey del Pop'? | Michael Jackson
¿Qué serie de televisión se centra en la vida de un médico llamado Gregory House? | House
¿Cuál es el nombre del personaje principal en la serie de televisión 'Friends' interpretado por Jennifer Aniston? | Rachel Green, rachel
¿Qué película de 2010 trata sobre una invasión de sueños y es dirigida por Christopher Nolan? | Inception
¿Qué actor protagoniza la película 'Joker' de 2019? | Joaquin Phoenix, phoenix
¿Cuál es el nombre del personaje de Disney que vive en una cabaña en el bosque con siete enanitos? | BlancaNieves, blanca nieves
¿Quién ganó el Oscar a la Mejor Actriz en 2020? | Renee Zellweger, zellweger
¿Qué famosa serie de televisión tiene el lema 'Winter is Coming'? | Game of Thrones
¿En qué película de Pixar el protagonista es un ratón chef en París? | Ratatouille
¿Quién es el autor de la saga de libros 'Harry Potter'? | J.K. Rowling, JK Rowling, rowling
¿Qué serie de televisión está ambientada en el ficticio pueblo de Springfield? | Los Simpson, simpson
¿Cuál es el nombre de la saga de películas que sigue las aventuras de un joven mago llamado Harry? | Harry Potter
¿Qué director es conocido por sus películas 'E.T.' y 'Jurassic Park'? | Steven Spielberg, spielberg
¿Qué banda de rock británica lanzó el álbum 'A Night at the Opera' en 1975? | Queen
¿Qué película de animación cuenta la historia de una niña llamada Moana? | Moana
¿Qué actor interpretó al personaje de James Bond en 'Casino Royale' (2006)? | Daniel Craig, craig
¿Cuál es el nombre del famoso videojuego de rol en el que los jugadores exploran un mundo abierto lleno de criaturas? | The Legend of Zelda
¿Qué película de 1994 está protagonizada por Jim Carrey como un hombre que puede predecir el futuro? | The Mask
¿Qué película de Pixar cuenta la historia de una familia de superhéroes? | Los Increíbles
¿Cuál es el nombre del creador de la serie de televisión 'Los Sopranos'? | David Chase, chase
¿Qué película de 1999 tiene como trama la creación de un nuevo tipo de vida artificial? | The Matrix, matrix
¿Qué actor interpretó al personaje de Tony Stark en el Universo Cinematográfico de Marvel? | Robert Downey Jr
¿Qué serie de televisión ambientada en una prisión tiene como protagonista a un hombre llamado Michael Scofield? | Prison Break
¿En qué película de animación aparecen personajes como Woody y Buzz Lightyear? | Toy Story
¿Qué famoso cantante es conocido por su éxito 'Shape of You'? | Ed Sheeran
¿Qué serie de televisión cuenta la historia de un grupo de personas que sobreviven a un apocalipsis zombie? | The Walking Dead
¿Cuál es el nombre del director de la película 'El Padrino'? | Francis Ford Coppola, coppola
¿Qué videojuego de 2017 se centra en la exploración de un vasto mundo abierto en un reino de fantasía? | The Legend of Zelda
¿Qué película de 1999 está dirigida por David Fincher y protagonizada por Brad Pitt y Edward Norton? | Fight Club
¿Cuál es el nombre del famoso director de cine conocido por sus películas 'Pulp Fiction' y 'Kill Bill'? | Quentin Tarantino, tarantino
¿Qué serie de televisión trata sobre un grupo de científicos que trabajan en un laboratorio llamado 'Big Bang Theory'? | The Big Bang Theory
¿Quién es el autor de la serie de libros 'Juego de Tronos'? | George R.R. Martin, george martin
¿Qué cantante estadounidense es conocido por el álbum 'Lemonade'? | Beyoncé
¿Cuál es el nombre del famoso artista conocido por sus pinturas de Marilyn Monroe y Campbell's Soup Cans? | Andy Warhol, warhol
¿Qué actor interpretó al personaje de Jack Dawson en la película 'Titanic'? | Leonardo DiCaprio, dicaprio
¿Qué película de animación cuenta la historia de una joven llamada Elsa que tiene poderes mágicos de hielo? | Frozen
¿Qué director es conocido por sus películas 'La La Land' y 'Whiplash'? | Damien Chazelle, chazelle
¿Qué famoso personaje de cómic es conocido por su traje de araña y sus habilidades arácnidas? | Spider Man, hombre araña
¿Qué serie de televisión protagonizada por Bryan Cranston trata sobre un profesor de química que se convierte en fabricante de metanfetaminas? | Breaking Bad
